"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"Quinn collaboration",,,568305,,,"Bid Development",,Pending,"Caroline Williams (CW329),Michael Barer (MRB19),Pre-award Admin",2,2024-01-01,2025-12-31,,"RO - Standard Research",Research,,"US DEPT. OF ENERGY US Dept. of Energy","US DEPT. OF ENERGY Default Scheme","Non EU (Overseas) Other (including non-competitive based charities)","YH Income - Services to Rest of World - Zero Rate",,,,,,,,,,,,,,"Michael Barer (MRB19)","Caroline Williams (CW329)",,"Only people involved in this project",,,Yes,,,,,"LS: Respiratory Sciences",,"LS: Respiratory Sciences","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,13810.47,,13851.24,,13810.47,-40.77,99.71,10742.44,77.78,4029.84,29.18,3057.83,13810.47,0.00,13810.47,0.00,13810.47,3068.03,3068.03,3057.83,13810.47,0.00,13810.47,0.00,13810.47,576.00,576.00,0.00,7757.40,6712.60,932.32,112.48,3025.81,0.00,13810.47,,13851.24,,13810.47,,-40.77,99.71,10742.44,77.78,4029.84,29.18,"2023-06-15 12:56:44",,Private,,"2023-06-15 12:39:09","Michael Barer (MRB19)","2023-06-15 12:59"
"Digitally Enabled Care in Diverse Environments",DECIDE,"The Oxford University-RAND Europe centre for rapid evaluation of technology-enabled remote monitoring.",568180,,,"Bid Approval",Locked,Pending,"Pre-award Admin",3,2023-07-01,2026-06-30,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research",,"UK Central Government","Y6 Income - Outside the Scope",,,"22/58 Technology-enabled monitoring - rapid evaluation of innovations team",,https://www.nihr.ac.uk/documents/2258-hsdr-technology-enabled-monitoring-rapid-evaluation-of-innovations-team-specification-document/30035,,"2022-07-22 10:45",2000000.00,,,,,,"Gemma Hughes (GH218)",,,"Only people involved in this project",,,Yes,,,,,"SS/BU: Work, Emp, M'ment & Org, Dept",,"SS/BU: Work, Emp, M'ment & Org, Dept","SS/BU: Work, Emp, M'ment & Org, Dept",,"SS/BU: Work, Emp, M'ment & Org, Dept",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"This grant has been awarded to Oxford (PI S Shaw).  G Hughes is unfunded co-applicant at 5% WTE as discussed internally at WEMO.",,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-06-15 12:00:56",,Private,,"2023-06-15 10:43:33","Gemma Hughes (GH218)","2023-06-15 12:00"
"Advancing the ‘Fluorescent Deep Space Petri-Pod’ Technology Through Multilateral PartnershipsDSPP",DSPP,,563195,,,"Bid Development",,Pending,"Bev Robinson (BAR4),John Holt (JMCH1),Pre-award Admin",1,2023-08-01,2023-11-30,,"RO - Standard Research",Research,,"UKSA UK Space Agency","UK SPACE AGENCY Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Bilateral - Exeter University Lead",,,,"2023-06-09 14:40",,,,,,,"John Holt (JMCH1)",,"Bev Robinson (BAR4)","Only people involved in this project",,"University of Exeter",Yes,,,,,"SE/PA: Physics & Astronomy",,"SE/PA: Physics & Astronomy","SE/PA: Space Research Centre",,"SE/PA: Space Research Centre",,,,,,,,"Sue Atkinson (SAM45)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,19677.40,,24627.35,,24596.75,-4949.95,79.9,9677.40,49.18,1410.38,7.17,10000.00,24596.75,0.00,24596.75,0.00,24596.75,10000.00,10000.00,10000.00,24596.75,0.00,24596.75,0.00,24596.75,10000.00,10000.00,0.00,9899.52,8267.02,1456.75,175.75,4727.83,0.00,19677.40,,24627.35,,24596.75,,-4949.95,79.9,9677.40,49.18,1410.38,7.17,"2023-06-14 16:56:56",,Private,,"2023-06-06 14:39:21","Bev Robinson (BAR4)","2023-08-16 14:53"
"Multiple components of temporal deficits in clinical populations",,,555306,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-04-01,2026-03-31,,"RO - Standard Research",Research,,"ACADEMY OF MEDICAL S The Academy of Medical Sciences",,"UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,https://acmedsci.ac.uk/grants-and-schemes/grant-schemes/springboard,,"2023-06-15 16:00",125000.00,"2023-06-14 09:32",,"2024-06-13 00:00",,,"Aurelio Bruno (AB1252)",,,"Only people involved in this project",,,Yes,,,,,"LS: Psychology",,"LS: Psychology","LS: Psychology",,"LS: Psychology",,,,,,,,"William Hudson (WOH3)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-01 15:20",,,,,,,122440.60,122440.60,237234.66,237234.66,122440.60,122440.60,-114794.05,51.61,-308.05,-0.25,-308.05,-0.25,122440.60,122440.60,0.00,122440.60,0.00,122440.60,122748.66,122748.66,122440.60,122440.60,0.00,122440.60,0.00,122440.60,40435.71,800.00,31435.71,29385.00,0.00,26221.50,3163.50,85101.00,0.00,122440.60,122440.60,237234.66,237234.66,122440.60,122440.60,-114794.05,51.61,-308.05,-0.25,-308.05,-0.25,"2023-06-14 09:35:39",,Private,,"2023-05-22 11:21:16","Aurelio Bruno (AB1252)","2023-08-09 09:44"
"Consutlancy - Metis Global Ltd - provide advice and expertise in the field of MIPs and/or any other technology within the expertise",,,526191,,,"Bid Development",,Pending,"Josef Walker (JAW69),Pre-award Admin,Sergey Piletsky (SP523)",3,2023-08-01,2026-07-31,,"OH - Consultancy (OSR)",Other,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,,,,,,,"Sergey Piletsky (SP523)",,"Josef Walker (JAW69)","Only people involved in this project",,,Yes,,,,,"SE/CH: Chemical Biology",,"SE/CH: Chemical Biology","SE/CH: Chemical Biology",,"SE/CH: Chemical Biology",,,,,,"99 - Not Applicable for Institute reporting",,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Lorna Waters (LW83)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,84165.38,,70363.61,,70137.82,13801.77,119.61,38780.53,46.08,38780.53,46.08,45159.05,70137.82,0.00,70137.82,0.00,70137.82,45384.85,45384.85,45159.05,70137.82,0.00,70137.82,0.00,70137.82,0.00,0.00,0.00,6411.27,0.00,5721.05,690.22,18567.49,0.00,84165.38,,70363.61,,70137.82,,13801.77,119.61,38780.53,46.08,38780.53,46.08,"2023-06-13 15:48:37",,Private,,"2023-03-22 12:49:10","Amy Stewart (AIS9)","2023-07-27 08:31"
"PBPSIS: Probing the Bernoulli Potential in Superfluids by Infrared Spectroscopy",PBPSIS,"Leverhulme Trust Research Project Grant",564425,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",3,2024-04-01,2027-03-31,,"RO - Standard Research",Research,,"THE LEVERHULME TRUST The Leverhulme Trust","THE LEVERHULME TRUST Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,https://www.leverhulme.ac.uk/research-project-grants,,,,"2023-06-13 15:43",,"2024-06-12 00:00",,,"Shengfu Yang (SFY1)","Andrew Ellis (AME2)",,"Only people involved in this project",,,Yes,,,,,"SE/CH: Spectroscopy & Dynamics","SE/CH: Chemistry","SE/CH: Chemistry,SE/CH: Spectroscopy & Dynamics","SE/CH: Spectroscopy & Dynamics","SE/CH: Chemistry","SE/CH: Chemistry,SE/CH: Spectroscopy & Dynamics",,,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-12 15:03",,,,,,,228756.55,228756.55,652861.51,652861.51,228756.55,228756.55,-424104.96,35.04,-17917.16,-7.83,-121861.92,-53.27,228756.55,228756.55,0.00,228756.55,0.00,228756.55,246673.71,246673.71,228756.55,228756.55,0.00,228756.55,0.00,228756.55,56180.00,49280.00,0.00,181521.16,103944.76,69224.76,8351.64,224666.64,0.00,228756.55,228756.55,652861.51,652861.51,228756.55,228756.55,-424104.96,35.04,-17917.16,-7.83,-121861.92,-53.27,"2023-06-13 15:43:31",,Discoverable,,"2023-06-07 14:53:56","Shengfu Yang (SFY1)","2023-06-13 15:43"
"The use of ngs panel sequencing for longitudinal monitoring of gastric and oesophageal adenocarcinoma",,"The project is an extension of a PhD student project: Cancer patient stratification by next generation sequencing of circulating tumour DNA: taking the next steps towards implementation. The project is a collaboration with the former PhD student (Mark Openshaw) who is now associated with the Birmingham Hospital NHS Trust and the University of Birmingham. The samples are already banked within the Leicester Cancer Research Biobank. The University of Leicester costing is only required for the extraction of the plasma samples into DNA.",514480,,,"Bid Development",,Pending,"Caroline Cowley (CMC66),Jacqui Shaw (JS39),Pre-award Admin",1,2023-06-01,2024-05-31,,"RO - Standard Research",Research,,"Nonacus Limited","Nonacus Limited Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,"Research Development Fund (internal call)",,,,"2023-10-01 12:00",,,,,,,"Caroline Cowley (CMC66)","Jacqui Shaw (JS39)",,"Only people involved in this project",,,Yes,"Nonacus Limited",,,,"LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-06-13 15:21:23",,Private,,"2023-03-07 11:58:56","Caroline Cowley (CMC66)","2023-06-13 15:25"
"University of Leicester - Owkin: Mesothelioma - WP1. Prediction of immune landscape",,"Costing no: 45713
Funder = Owkin Company WP1",476699,,,"Bid Approval",Locked,Pending,"HoD CancerStudies",2,2023-04-03,2025-04-02,,"RO - Standard Research",Research,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,70000.00,,,,,,"Dean Fennell (DF132)",,"Rebecca Hames (RSH27)","Only people involved in this project",,,Yes,,,,,"LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,155611.07,,0.00,,155611.07,155611.07,0,155611.07,100,155611.07,100,0.00,155611.07,0.00,155611.07,0.00,155611.07,0.00,0.00,0.00,155611.07,0.00,155611.07,0.00,155611.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155611.07,,0.00,,155611.07,,155611.07,0,155611.07,100,155611.07,100,"2023-06-13 14:49:59",,Private,,"2023-01-31 10:59:36","William Hudson (WOH3)","2023-06-13 15:18"
"Identifying the most clinically effective exercise prescription for patients with intermittent claudication (MAXIMISE): a network meta-analysis to answer a James Lind Alliance priority research question",MAXIMISE,RM61G1072,511984,RM61W511984,,"Project Live",Locked,Successful,"Post-award Admin,Pre-award Admin,Robert Sayers (RS152),Tanya Payne (TJP28)",2,2023-04-01,2025-01-31,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research","NIHR Default Scheme","UK Central Government","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"22/4 NIHR James Lind Alliance Priority Setting Partnerships Rolling Call (HTA Programme: Jan 22 - May 22)",,,,,,"2023-03-16 14:49",,"2024-03-15 00:00",2023-03-16,,"Robert Sayers (RS152)",,"Tanya Payne (TJP28)","Only people involved in this project",,"Hull University Teaching Hospitals NHS Trust",Yes,"University of Coventry,University of Hull,University of York",,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,Yes,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)",,"Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",NIHR152587,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-16 14:49",,,,,,"Reported in SAPGM RM61G1072",,6136.90,,8456.72,,7671.12,-2319.83,72.57,6136.90,100,27.72,0.45,0.00,7671.12,0.00,7671.12,0.00,7671.12,0.00,0.00,0.00,7671.12,0.00,7671.12,0.00,7671.12,0.00,0.00,0.00,6376.48,6109.18,267.30,0.00,2080.25,0.00,6136.90,,8456.72,,7671.12,,-2319.83,72.57,6136.90,100,27.72,0.45,"2023-06-13 14:10:47",,Discoverable,,"2023-03-03 16:20:22","Kerry Warner (KW153)","2023-06-13 14:10"
"RSC Undergraduate Research Bursary: Electrochemical and Spectroscopic Investigations of the Reaction of [NiFe] Hydrogenases with the Special Inhibitor Sulfide",,,564055,TP10564055,,"Project Live",Locked,Successful,"Patricia Rodriguez Macia (PRM28),Post-award Admin,Pre-award Admin",1,2023-07-01,2023-08-31,,"TS - Studentship",Studentship,,"RSC Royal Society of Chemistry","RSC Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"RSC Undergraduate Research Bursary 2023",,https://www.rsc.org/prizes-funding/funding/find-funding/undergraduate-research-bursaries/,,,,"2023-06-08 09:36",,"2024-06-07 00:00",2023-06-08,,"Patricia Rodriguez Macia (PRM28)",,,"Only people involved in this project",,,Yes,,,,,"SE/CH: Chemical Learning E & P",,"SE/CH: Chemical Learning E & P","SE/CH: Chemical Learning E & P",,"SE/CH: Chemical Learning E & P",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)","James Bird (JHBB1)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Chemistry,U23-7902290673,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-06-07 16:43",,,,,,,2917.60,2917.60,2564.71,2564.71,2917.60,2917.60,352.89,113.76,352.89,12.1,352.89,12.1,2917.60,2917.60,2917.60,0.00,0.00,0.00,2564.71,2564.71,2917.60,2917.60,2917.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2917.60,2917.60,2564.71,2564.71,2917.60,2917.60,352.89,113.76,352.89,12.1,352.89,12.1,"2023-06-13 11:57:27",,Discoverable,,"2023-06-07 11:07:59","Patricia Rodriguez Macia (PRM28)","2023-06-13 11:57"
"Libyan Archive project (Funder is British Institute for Libyan and North African Studies – BILNAS, formerly Society for Libyan Studies)",,,454260,RA11W454260,,"Project Live",Locked,Successful,"David Mattingly (DJM7),Post-award Admin,Pre-award Admin",1,2023-04-01,2024-01-31,,"RO - Standard Research",Research,,"PJSOCLST THE SOCIETY FOR LIBYAN STUDIES","PJSOCLST Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,https://www.bilnas.org/,,,,,,"2023-06-05 09:43",,"2024-06-04 00:00",2023-06-05,,"David Mattingly (DJM7)",,,"Only people involved in this project",,,Yes,,,,,"SS/AH: Archaeology & AH (Endangered)",,"SS/AH: Archaeology & AH (Endangered)","SS/AH: Archaeology & AH (Endangered)",,"SS/AH: Archaeology & AH (Endangered)",,No,,,,"99 - Not Applicable for Institute reporting",,"William Hudson (WOH3)","Daksha Patel (DP230)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Archaeology,n/a,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI",,,"2023-06-05 09:42",,,,,,"Project currently ongoing - extension to previous project but no contract in place. Project set up for David to employ RA on whilst I get an award letter etc",46400.00,46400.00,111311.57,111311.57,46400.00,46400.00,-64911.57,41.68,9030.34,19.46,1151.02,2.48,36478.00,46400.00,26985.29,19414.71,0.00,19414.71,37369.66,37369.66,36478.00,46400.00,26985.29,19414.71,0.00,19414.71,1108.00,1108.00,0.00,23440.05,7879.31,15560.74,0.00,50501.86,0.00,46400.00,46400.00,111311.57,111311.57,46400.00,46400.00,-64911.57,41.68,9030.34,19.46,1151.02,2.48,"2023-06-13 11:46:00",,Discoverable,,"2023-01-11 13:57:24","William Hudson (WOH3)","2023-06-13 11:46"
"Elucidating the heterogeneity of impaired awareness of hypoglycemia in Type 1 Diabetes (T1D)",,,481490,RM65W481490,,"Project Live",Locked,Successful,"Post-award Admin,Pratik Choudhary (PC306),Pre-award Admin",5,2022-09-25,2027-06-30,,"RO - Standard Research",Research,,"NATL INST OF HEALTH NATIONAL INSTITUTES OF HEALTH","NATL INST OF HEALTH Default Scheme","Non EU (Overseas) Other (including non-competitive based charities)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,"2022-03-31 21:20",,"2023-02-17 17:06",,"2024-02-17 00:00",2022-09-22,,"Pratik Choudhary (PC306)",,,"Only people involved in this project",,,Yes,,"University of Southern Denmark",,"King's College London","LS/HS: Diabetes",,"LS/HS: Diabetes","LS/HS: Diabetes",,"LS/HS: Diabetes",,Yes,,,,"99 - Not Applicable for Institute reporting",DENMARK,"Vicki Inchley (VLC2)","Trishie Kupara (TK236)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",1UO1DK135128-01,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-17 17:06",,,,,,"Application reported on SAPGM  RM65G0327. 
Award wasn't reported om SAP GM.",0.00,159567.34,0.00,156214.35,0.00,159567.34,3352.99,102.15,40911.31,25.64,13217.85,8.28,117895.47,159567.34,7104.00,152463.34,855.05,151608.29,118656.03,118656.03,117895.47,159567.34,7104.00,152463.34,855.05,151608.29,72764.21,0.00,11500.00,37230.19,27693.46,5433.21,0.00,328.13,0.00,155135.69,0.00,151782.70,0.00,155135.69,0.00,3352.99,102.21,36479.66,23.51,8786.20,5.66,"2023-06-13 11:10:45",,Discoverable,,"2023-02-05 21:06:47","Vicki Inchley (VLC2)","2023-09-01 10:34"
"Predoctoral fellowship - Will Robinson",,,491096,,,"Award Setup",,Successful,"Pre-award Admin",1,2023-10-01,2024-09-30,,"RF - Research Fellowship",Research,,"NIHR National Institute of Health Research","Programme Grants for Applied Research (PGfAR)","UK Central Government","Y6 Income - Outside the Scope",,,"NIHR Pre-doctoral fellowship (Round 5)",,https://www.nihr.ac.uk/documents/nihr-pre-doctoral-fellowship-guidance-notes-round-5/32549,,,,"2023-03-14 10:13",,"2024-03-13 00:00",2023-06-13,,"Nicola Cooper (NJC21)",,,"Only people involved in this project",,,Yes,,,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,,,,,,,"Yusuf Dedat (YD134)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,NIHR303352,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-14 15:00",,,,,,"The NIHR Application has been submitted without the Health and Social Care Levy costs and the salary costs were entered under 'HEI' as type of costs, instead of 'other', therefore these costs are currently at 80%. 
Student submitted the application before amendments could be made.
Tom Barson contacted NIHR to see if they could roll the application back for us to amend. Their advice  was when the application will be reviewed they will contact us to confirm costs. YD 14/03/2023",47401.23,47401.23,125599.13,125599.13,47401.23,47401.23,-78197.91,37.74,-1873.91,-3.95,-1873.91,-3.95,47401.23,47401.23,0.00,47401.23,0.00,47401.23,49275.13,49275.13,47401.23,47401.23,0.00,47401.23,0.00,47401.23,6997.00,0.00,0.00,19590.00,0.00,17481.00,2109.00,56734.00,0.00,47401.23,47401.23,125599.13,125599.13,47401.23,47401.23,-78197.91,37.74,-1873.91,-3.95,-1873.91,-3.95,"2023-06-13 10:37:43",,Discoverable,,"2023-02-09 11:38:40","Nicola Cooper (NJC21)","2023-08-17 09:24"
"Can pro-social messages improve antimicrobial stewardship? A Cross-cultural discrete choice experiment",,"Using an experimental paradigm called the ""discrete choice experiment"", we will conduct cross-cultural research in Italy, Germany, the Netherlands, and the UK to test whether altruism determines response patterns to antibiotic treatment options. The aim is to determine if pro-socially framed messages might improve antibiotic decision making in lay populations.",531715,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-01-01,2025-12-31,,"RO - Standard Research",Research,,"PAR The Foundation to Prevent Antibiotic Resistance","PAR Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,"Prevent antibiotic resistance with new methods",,https://opencalls.parfoundation.org/jobs/2421053-research-grant-prevent-antibiotic-resistance-with-new-methods,,"2023-04-12 08:55",80000.00,"2023-04-18 09:05",,"2024-04-17 00:00",,,"Eva Krockow (EMK12)",,,"Only people involved in this project",,"Uppsala University",Yes,,,,,"LS: Psychology",,"LS: Psychology","LS: Psychology",,"LS: Psychology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-04-05 10:02",,,,,,,15631.56,15631.56,15661.38,15661.38,15631.56,15631.56,-29.82,99.81,15631.56,100,7602.58,48.64,0.00,15631.56,0.00,15631.56,0.00,15631.56,0.00,0.00,0.00,15631.56,0.00,15631.56,0.00,15631.56,0.00,0.00,0.00,9987.98,8028.98,1748.10,210.90,5673.40,0.00,15631.56,15631.56,15661.38,15661.38,15631.56,15631.56,-29.82,99.81,15631.56,100,7602.58,48.64,"2023-06-13 09:05:48",,Private,,"2023-03-30 08:46:39","Eva Krockow (EMK12)","2023-08-10 10:00"
